Fit_Index,sim_model,k_split,separation,N,de,model,Class_2,Class_3,Class_4,Class_5,Class_6,Total,p,m
BIC,p3m1,even,ideal,1000,0.405,complex,0,0,0,100,0,420,p3,m1
BIC,p3m1,even,ideal,5000,1.5,complex,0,0,0,100,0,486,p3,m1
BIC,p3m1,even,ideal,5000,0.9,complex,0,0,0,100,0,472,p3,m1
BIC,p3m1,even,ideal,5000,0.405,complex,0,0,0,100,0,457,p3,m1
BIC,p3m1,uneven,ideal,200,1.5,complex,0,0,51,48,0,244,p3,m1
BIC,p3m1,uneven,ideal,200,0.9,complex,0,0,46,54,0,261,p3,m1
BIC,p3m1,uneven,ideal,200,0.405,complex,0,0,48,52,0,306,p3,m1
BIC,p3m1,uneven,ideal,500,1.5,complex,0,0,0,100,0,365,p3,m1
BIC,p3m1,uneven,ideal,500,0.9,complex,0,0,0,100,0,395,p3,m1
BIC,p3m1,uneven,ideal,500,0.405,complex,0,0,0,100,0,390,p3,m1
BIC,p3m1,uneven,ideal,1000,1.5,complex,0,0,0,100,0,427,p3,m1
BIC,p3m1,uneven,ideal,1000,0.9,complex,0,0,0,100,0,415,p3,m1
BIC,p3m1,uneven,ideal,1000,0.405,complex,0,0,0,100,0,421,p3,m1
BIC,p3m1,uneven,ideal,5000,1.5,complex,0,0,0,100,0,478,p3,m1
BIC,p3m1,uneven,ideal,5000,0.9,complex,0,0,0,100,0,467,p3,m1
BIC,p3m1,uneven,ideal,5000,0.405,complex,0,0,0,100,0,457,p3,m1
CAIC,p3m1,even,ideal,200,1.5,complex,0,2,48,50,0,265,p3,m1
CAIC,p3m1,even,ideal,200,0.9,complex,0,1,36,63,0,262,p3,m1
CAIC,p3m1,even,ideal,200,0.405,complex,0,0,29,70,0,275,p3,m1
CAIC,p3m1,even,ideal,500,1.5,complex,0,0,0,100,0,386,p3,m1
CAIC,p3m1,even,ideal,500,0.9,complex,0,0,0,100,0,390,p3,m1
CAIC,p3m1,even,ideal,500,0.405,complex,0,0,0,100,0,400,p3,m1
CAIC,p3m1,even,ideal,1000,1.5,complex,0,0,0,100,0,403,p3,m1
CAIC,p3m1,even,ideal,1000,0.9,complex,0,0,0,100,0,423,p3,m1
CAIC,p3m1,even,ideal,1000,0.405,complex,0,0,0,100,0,420,p3,m1
CAIC,p3m1,even,ideal,5000,1.5,complex,0,0,0,100,0,486,p3,m1
CAIC,p3m1,even,ideal,5000,0.9,complex,0,0,0,100,0,472,p3,m1
CAIC,p3m1,even,ideal,5000,0.405,complex,0,0,0,100,0,457,p3,m1
CAIC,p3m1,uneven,ideal,200,1.5,complex,0,6,71,23,0,244,p3,m1
CAIC,p3m1,uneven,ideal,200,0.9,complex,0,3,71,26,0,261,p3,m1
CAIC,p3m1,uneven,ideal,200,0.405,complex,0,3,70,27,0,306,p3,m1
CAIC,p3m1,uneven,ideal,500,1.5,complex,0,0,2,98,0,365,p3,m1
CAIC,p3m1,uneven,ideal,500,0.9,complex,0,0,1,99,0,395,p3,m1
CAIC,p3m1,uneven,ideal,500,0.405,complex,0,0,1,99,0,390,p3,m1
CAIC,p3m1,uneven,ideal,1000,1.5,complex,0,0,0,100,0,427,p3,m1
CAIC,p3m1,uneven,ideal,1000,0.9,complex,0,0,0,100,0,415,p3,m1
CAIC,p3m1,uneven,ideal,1000,0.405,complex,0,0,0,100,0,421,p3,m1
CAIC,p3m1,uneven,ideal,5000,1.5,complex,0,0,0,100,0,478,p3,m1
CAIC,p3m1,uneven,ideal,5000,0.9,complex,0,0,0,100,0,467,p3,m1
CAIC,p3m1,uneven,ideal,5000,0.405,complex,0,0,0,100,0,457,p3,m1
VLMR,p3m1,even,ideal,200,1.5,complex,9,7,17,49,18,265,p3,m1
VLMR,p3m1,even,ideal,200,0.9,complex,9,6,15,47,23,262,p3,m1
VLMR,p3m1,even,ideal,200,0.405,complex,7,4,13,53,23,275,p3,m1
VLMR,p3m1,even,ideal,500,1.5,complex,0,1,1,73,26,386,p3,m1
VLMR,p3m1,even,ideal,500,0.9,complex,1,1,0,74,25,390,p3,m1
VLMR,p3m1,even,ideal,500,0.405,complex,1,0,0,70,28,400,p3,m1
VLMR,p3m1,even,ideal,1000,1.5,complex,0,0,0,69,30,403,p3,m1
VLMR,p3m1,even,ideal,1000,0.9,complex,0,1,0,72,27,423,p3,m1
VLMR,p3m1,even,ideal,1000,0.405,complex,0,0,0,72,28,420,p3,m1
VLMR,p3m1,even,ideal,5000,1.5,complex,0,0,0,28,72,486,p3,m1
VLMR,p3m1,even,ideal,5000,0.9,complex,0,0,0,78,22,472,p3,m1
VLMR,p3m1,even,ideal,5000,0.405,complex,0,0,0,80,20,457,p3,m1
VLMR,p3m1,uneven,ideal,200,1.5,complex,12,15,21,35,17,244,p3,m1
