file,sim_model,N,k,k_split,de,separation,entropy,p,m
p3m1_c3.out,  p3m1,5000,3,uneven,1.5,ideal ,0.876,  p3,  m1
p3m1_c4.out,  p3m1,5000,4,uneven,1.5,ideal ,0.894,  p3,  m1
p3m1_c5.out,  p3m1,5000,5,uneven,1.5,ideal ,0.897,  p3,  m1
p3m1_c6.out,  p3m1,5000,6,uneven,1.5,ideal ,0.904,  p3,  m1
p3m2_c2.out,  p3m2,1000,2,even,0.405,ideal ,0.919,  p3,  m2
p3m2_c3.out,  p3m2,1000,3,even,0.405,ideal ,0.904,  p3,  m2
p3m2_c4.out,  p3m2,1000,4,even,0.405,ideal ,0.911,  p3,  m2
p3m2_c5.out,  p3m2,1000,5,even,0.405,ideal ,0.916,  p3,  m2
p3m2_c6.out,  p3m2,1000,6,even,0.405,ideal ,0.926,  p3,  m2
p3m2_c2.out,  p3m2,1000,2,even,0.9,ideal ,0.92,  p3,  m2
p3m2_c3.out,  p3m2,1000,3,even,0.9,ideal ,0.891,  p3,  m2
p3m2_c4.out,  p3m2,1000,4,even,0.9,ideal ,0.91,  p3,  m2
p3m2_c5.out,  p3m2,1000,5,even,0.9,ideal ,0.907,  p3,  m2
p3m2_c6.out,  p3m2,1000,6,even,0.9,ideal ,0.914,  p3,  m2
p3m2_c2.out,  p3m2,1000,2,even,1.5,ideal ,0.92,  p3,  m2
p3m2_c3.out,  p3m2,1000,3,even,1.5,ideal ,0.892,  p3,  m2
p3m2_c4.out,  p3m2,1000,4,even,1.5,ideal ,0.904,  p3,  m2
p3m2_c5.out,  p3m2,1000,5,even,1.5,ideal ,0.896,  p3,  m2
p3m2_c6.out,  p3m2,1000,6,even,1.5,ideal ,0.904,  p3,  m2
p3m2_c2.out,  p3m2,200,2,even,0.405,ideal ,0.958,  p3,  m2
p3m2_c3.out,  p3m2,200,3,even,0.405,ideal ,0.948,  p3,  m2
p3m2_c4.out,  p3m2,200,4,even,0.405,ideal ,0.955,  p3,  m2
p3m2_c5.out,  p3m2,200,5,even,0.405,ideal ,0.96,  p3,  m2
p3m2_c6.out,  p3m2,200,6,even,0.405,ideal ,0.965,  p3,  m2
p3m2_c2.out,  p3m2,200,2,even,0.9,ideal ,0.957,  p3,  m2
p3m2_c3.out,  p3m2,200,3,even,0.9,ideal ,0.952,  p3,  m2
p3m2_c4.out,  p3m2,200,4,even,0.9,ideal ,0.958,  p3,  m2
p3m2_c5.out,  p3m2,200,5,even,0.9,ideal ,0.963,  p3,  m2
p3m2_c6.out,  p3m2,200,6,even,0.9,ideal ,0.97,  p3,  m2
p3m2_c2.out,  p3m2,200,2,even,1.5,ideal ,0.955,  p3,  m2
p3m2_c3.out,  p3m2,200,3,even,1.5,ideal ,0.95,  p3,  m2
p3m2_c4.out,  p3m2,200,4,even,1.5,ideal ,0.955,  p3,  m2
p3m2_c5.out,  p3m2,200,5,even,1.5,ideal ,0.955,  p3,  m2
p3m2_c6.out,  p3m2,200,6,even,1.5,ideal ,0.962,  p3,  m2
"error in data.frame(file = basename(file_path), title, entropy, stringsasfactors = false) : 
  arguments imply differing number of rows: 1, 0
","error in data.frame(file = basename(file_path), title, entropy, stringsasfactors = false) : 
  arguments imply differing number of rows: 1, 0
",NA,NA,NA,NA,NA,"error in data.frame(file = basename(file_path), title, entropy, stringsasfactors = false) : 
  arguments imply differing number of rows: 1, 0
","error in data.frame(file = basename(file_path), title, entropy, stringsasfactors = false) : 
  arguments imply differing number of rows: 1, 0
","error in data.frame(file = basename(file_path), title, entropy, stringsasfactors = false) : 
  arguments imply differing number of rows: 1, 0
"
"error in data.frame(file = basename(file_path), title, entropy, stringsasfactors = false) : 
  arguments imply differing number of rows: 1, 0
","error in data.frame(file = basename(file_path), title, entropy, stringsasfactors = false) : 
  arguments imply differing number of rows: 1, 0
",NA,NA,NA,NA,NA,"error in data.frame(file = basename(file_path), title, entropy, stringsasfactors = false) : 
  arguments imply differing number of rows: 1, 0
","error in data.frame(file = basename(file_path), title, entropy, stringsasfactors = false) : 
  arguments imply differing number of rows: 1, 0
","error in data.frame(file = basename(file_path), title, entropy, stringsasfactors = false) : 
  arguments imply differing number of rows: 1, 0
"
"error in data.frame(file = basename(file_path), title, entropy, stringsasfactors = false) : 
  arguments imply differing number of rows: 1, 0
","error in data.frame(file = basename(file_path), title, entropy, stringsasfactors = false) : 
  arguments imply differing number of rows: 1, 0
",NA,NA,NA,NA,NA,"error in data.frame(file = basename(file_path), title, entropy, stringsasfactors = false) : 
  arguments imply differing number of rows: 1, 0
","error in data.frame(file = basename(file_path), title, entropy, stringsasfactors = false) : 
  arguments imply differing number of rows: 1, 0
","error in data.frame(file = basename(file_path), title, entropy, stringsasfactors = false) : 
  arguments imply differing number of rows: 1, 0
"
p3m2_c5.out,  p3m2,500,5,even,0.405,ideal ,0.92,  p3,  m2
p3m2_c6.out,  p3m2,500,6,even,0.405,ideal ,0.931,  p3,  m2
p3m2_c2.out,  p3m2,500,2,even,0.9,ideal ,0.935,  p3,  m2
p3m2_c3.out,  p3m2,500,3,even,0.9,ideal ,0.896,  p3,  m2
p3m2_c4.out,  p3m2,500,4,even,0.9,ideal ,0.917,  p3,  m2
p3m2_c5.out,  p3m2,500,5,even,0.9,ideal ,0.921,  p3,  m2
p3m2_c6.out,  p3m2,500,6,even,0.9,ideal ,0.888,  p3,  m2
p3m2_c2.out,  p3m2,500,2,even,1.5,ideal ,0.936,  p3,  m2
p3m2_c3.out,  p3m2,500,3,even,1.5,ideal ,0.9,  p3,  m2
p3m2_c4.out,  p3m2,500,4,even,1.5,ideal ,0.92,  p3,  m2
p3m2_c5.out,  p3m2,500,5,even,1.5,ideal ,0.917,  p3,  m2
p3m2_c6.out,  p3m2,500,6,even,1.5,ideal ,0.906,  p3,  m2
p3m2_c2.out,  p3m2,5000,2,even,0.405,ideal ,0.913,  p3,  m2
p3m2_c3.out,  p3m2,5000,3,even,0.405,ideal ,0.887,  p3,  m2
p3m2_c4.out,  p3m2,5000,4,even,0.405,ideal ,0.907,  p3,  m2
p3m2_c5.out,  p3m2,5000,5,even,0.405,ideal ,0.92,  p3,  m2
p3m2_c6.out,  p3m2,5000,6,even,0.405,ideal ,0.924,  p3,  m2
p3m2_c2.out,  p3m2,5000,2,even,0.9,ideal ,0.912,  p3,  m2
p3m2_c3.out,  p3m2,5000,3,even,0.9,ideal ,0.883,  p3,  m2
p3m2_c4.out,  p3m2,5000,4,even,0.9,ideal ,0.904,  p3,  m2
p3m2_c5.out,  p3m2,5000,5,even,0.9,ideal ,0.916,  p3,  m2
p3m2_c6.out,  p3m2,5000,6,even,0.9,ideal ,0.895,  p3,  m2
p3m2_c2.out,  p3m2,5000,2,even,1.5,ideal ,0.911,  p3,  m2
p3m2_c3.out,  p3m2,5000,3,even,1.5,ideal ,0.88,  p3,  m2
p3m2_c4.out,  p3m2,5000,4,even,1.5,ideal ,0.897,  p3,  m2
p3m2_c5.out,  p3m2,5000,5,even,1.5,ideal ,0.908,  p3,  m2
p3m2_c6.out,  p3m2,5000,6,even,1.5,ideal ,0.889,  p3,  m2
p3m2_c2.out,  p3m2,1000,2,uneven,0.405,ideal ,0.921,  p3,  m2
p3m2_c3.out,  p3m2,1000,3,uneven,0.405,ideal ,0.908,  p3,  m2
p3m2_c4.out,  p3m2,1000,4,uneven,0.405,ideal ,0.926,  p3,  m2
p3m2_c5.out,  p3m2,1000,5,uneven,0.405,ideal ,0.931,  p3,  m2
p3m2_c6.out,  p3m2,1000,6,uneven,0.405,ideal ,0.928,  p3,  m2
p3m2_c2.out,  p3m2,1000,2,uneven,0.9,ideal ,0.922,  p3,  m2
p3m2_c3.out,  p3m2,1000,3,uneven,0.9,ideal ,0.898,  p3,  m2
p3m2_c4.out,  p3m2,1000,4,uneven,0.9,ideal ,0.919,  p3,  m2
p3m2_c5.out,  p3m2,1000,5,uneven,0.9,ideal ,0.924,  p3,  m2
p3m2_c6.out,  p3m2,1000,6,uneven,0.9,ideal ,0.911,  p3,  m2
p3m2_c2.out,  p3m2,1000,2,uneven,1.5,ideal ,0.922,  p3,  m2
p3m2_c3.out,  p3m2,1000,3,uneven,1.5,ideal ,0.901,  p3,  m2
p3m2_c4.out,  p3m2,1000,4,uneven,1.5,ideal ,0.915,  p3,  m2
p3m2_c5.out,  p3m2,1000,5,uneven,1.5,ideal ,0.913,  p3,  m2
p3m2_c6.out,  p3m2,1000,6,uneven,1.5,ideal ,0.89,  p3,  m2
p3m2_c2.out,  p3m2,200,2,uneven,0.405,ideal ,0.943,  p3,  m2
p3m2_c3.out,  p3m2,200,3,uneven,0.405,ideal ,0.956,  p3,  m2
p3m2_c4.out,  p3m2,200,4,uneven,0.405,ideal ,0.968,  p3,  m2
p3m2_c5.out,  p3m2,200,5,uneven,0.405,ideal ,0.97,  p3,  m2
p3m2_c6.out,  p3m2,200,6,uneven,0.405,ideal ,0.978,  p3,  m2
p3m2_c2.out,  p3m2,200,2,uneven,0.9,ideal ,0.942,  p3,  m2
p3m2_c3.out,  p3m2,200,3,uneven,0.9,ideal ,0.952,  p3,  m2
p3m2_c4.out,  p3m2,200,4,uneven,0.9,ideal ,0.968,  p3,  m2
p3m2_c5.out,  p3m2,200,5,uneven,0.9,ideal ,0.969,  p3,  m2
p3m2_c6.out,  p3m2,200,6,uneven,0.9,ideal ,0.977,  p3,  m2
p3m2_c2.out,  p3m2,200,2,uneven,1.5,ideal ,0.941,  p3,  m2
p3m2_c3.out,  p3m2,200,3,uneven,1.5,ideal ,0.944,  p3,  m2
p3m2_c4.out,  p3m2,200,4,uneven,1.5,ideal ,0.959,  p3,  m2
p3m2_c5.out,  p3m2,200,5,uneven,1.5,ideal ,0.969,  p3,  m2
p3m2_c6.out,  p3m2,200,6,uneven,1.5,ideal ,0.974,  p3,  m2
p3m2_c2.out,  p3m2,500,2,uneven,0.405,ideal ,0.937,  p3,  m2
p3m2_c3.out,  p3m2,500,3,uneven,0.405,ideal ,0.911,  p3,  m2
p3m2_c4.out,  p3m2,500,4,uneven,0.405,ideal ,0.937,  p3,  m2
p3m2_c5.out,  p3m2,500,5,uneven,0.405,ideal ,0.926,  p3,  m2
p3m2_c6.out,  p3m2,500,6,uneven,0.405,ideal ,0.925,  p3,  m2
p3m2_c2.out,  p3m2,500,2,uneven,0.9,ideal ,0.935,  p3,  m2
p3m2_c3.out,  p3m2,500,3,uneven,0.9,ideal ,0.91,  p3,  m2
p3m2_c4.out,  p3m2,500,4,uneven,0.9,ideal ,0.935,  p3,  m2
p3m2_c5.out,  p3m2,500,5,uneven,0.9,ideal ,0.922,  p3,  m2
p3m2_c6.out,  p3m2,500,6,uneven,0.9,ideal ,0.932,  p3,  m2
p3m2_c2.out,  p3m2,500,2,uneven,1.5,ideal ,0.936,  p3,  m2
p3m2_c3.out,  p3m2,500,3,uneven,1.5,ideal ,0.905,  p3,  m2
p3m2_c4.out,  p3m2,500,4,uneven,1.5,ideal ,0.933,  p3,  m2
p3m2_c5.out,  p3m2,500,5,uneven,1.5,ideal ,0.917,  p3,  m2
p3m2_c6.out,  p3m2,500,6,uneven,1.5,ideal ,0.882,  p3,  m2
p3m2_c2.out,  p3m2,5000,2,uneven,0.405,ideal ,0.911,  p3,  m2
p3m2_c3.out,  p3m2,5000,3,uneven,0.405,ideal ,0.896,  p3,  m2
p3m2_c4.out,  p3m2,5000,4,uneven,0.405,ideal ,0.918,  p3,  m2
p3m2_c5.out,  p3m2,5000,5,uneven,0.405,ideal ,0.926,  p3,  m2
p3m2_c6.out,  p3m2,5000,6,uneven,0.405,ideal ,0.934,  p3,  m2
p3m2_c2.out,  p3m2,5000,2,uneven,0.9,ideal ,0.91,  p3,  m2
p3m2_c3.out,  p3m2,5000,3,uneven,0.9,ideal ,0.891,  p3,  m2
p3m2_c4.out,  p3m2,5000,4,uneven,0.9,ideal ,0.91,  p3,  m2
p3m2_c5.out,  p3m2,5000,5,uneven,0.9,ideal ,0.92,  p3,  m2
p3m2_c6.out,  p3m2,5000,6,uneven,0.9,ideal ,0.856,  p3,  m2
p3m2_c2.out,  p3m2,5000,2,uneven,1.5,ideal ,0.91,  p3,  m2
p3m2_c3.out,  p3m2,5000,3,uneven,1.5,ideal ,0.889,  p3,  m2
p3m2_c4.out,  p3m2,5000,4,uneven,1.5,ideal ,0.904,  p3,  m2
p3m2_c5.out,  p3m2,5000,5,uneven,1.5,ideal ,0.911,  p3,  m2
p3m2_c6.out,  p3m2,5000,6,uneven,1.5,ideal ,0.874,  p3,  m2
p3m3_c2.out,  p3m3,1000,2,even,0.405,ideal ,0.918,  p3,  m3
p3m3_c3.out,  p3m3,1000,3,even,0.405,ideal ,0.905,  p3,  m3
p3m3_c4.out,  p3m3,1000,4,even,0.405,ideal ,0.911,  p3,  m3
p3m3_c5.out,  p3m3,1000,5,even,0.405,ideal ,0.917,  p3,  m3
p3m3_c6.out,  p3m3,1000,6,even,0.405,ideal ,0.928,  p3,  m3
p3m3_c2.out,  p3m3,1000,2,even,0.9,ideal ,0.918,  p3,  m3
p3m3_c3.out,  p3m3,1000,3,even,0.9,ideal ,0.9,  p3,  m3
p3m3_c4.out,  p3m3,1000,4,even,0.9,ideal ,0.91,  p3,  m3
p3m3_c5.out,  p3m3,1000,5,even,0.9,ideal ,0.913,  p3,  m3
p3m3_c6.out,  p3m3,1000,6,even,0.9,ideal ,0.924,  p3,  m3
