file,sim_model,N,k,k_split,de,separation,entropy,p,m
p3m3_c4.out,  p3m3,500,4,even,0.9,realistic ,0.796,  p3,  m3
p3m3_c5.out,  p3m3,500,5,even,0.9,realistic ,0.8,  p3,  m3
p3m3_c2.out,  p3m3,500,2,even,1.5,realistic ,0.877,  p3,  m3
p3m3_c3.out,  p3m3,500,3,even,1.5,realistic ,0.841,  p3,  m3
p3m3_c4.out,  p3m3,500,4,even,1.5,realistic ,0.797,  p3,  m3
p3m3_c5.out,  p3m3,500,5,even,1.5,realistic ,0.81,  p3,  m3
p3m3_c2.out,  p3m3,5000,2,even,0.405,realistic ,0.858,  p3,  m3
p3m3_c3.out,  p3m3,5000,3,even,0.405,realistic ,0.802,  p3,  m3
p3m3_c4.out,  p3m3,5000,4,even,0.405,realistic ,0.814,  p3,  m3
p3m3_c5.out,  p3m3,5000,5,even,0.405,realistic ,0.829,  p3,  m3
p3m3_c2.out,  p3m3,5000,2,even,0.9,realistic ,0.857,  p3,  m3
p3m3_c3.out,  p3m3,5000,3,even,0.9,realistic ,0.798,  p3,  m3
p3m3_c4.out,  p3m3,5000,4,even,0.9,realistic ,0.808,  p3,  m3
p3m3_c5.out,  p3m3,5000,5,even,0.9,realistic ,0.837,  p3,  m3
p3m3_c2.out,  p3m3,5000,2,even,1.5,realistic ,0.849,  p3,  m3
p3m3_c3.out,  p3m3,5000,3,even,1.5,realistic ,0.794,  p3,  m3
p3m3_c4.out,  p3m3,5000,4,even,1.5,realistic ,0.805,  p3,  m3
p3m3_c5.out,  p3m3,5000,5,even,1.5,realistic ,0.834,  p3,  m3
p3m3_c2.out,  p3m3,1000,2,uneven,0.405,realistic ,0.87,  p3,  m3
p3m3_c3.out,  p3m3,1000,3,uneven,0.405,realistic ,0.794,  p3,  m3
p3m3_c4.out,  p3m3,1000,4,uneven,0.405,realistic ,0.797,  p3,  m3
p3m3_c5.out,  p3m3,1000,5,uneven,0.405,realistic ,0.828,  p3,  m3
p3m3_c2.out,  p3m3,1000,2,uneven,0.9,realistic ,0.85,  p3,  m3
p3m3_c3.out,  p3m3,1000,3,uneven,0.9,realistic ,0.779,  p3,  m3
p3m3_c4.out,  p3m3,1000,4,uneven,0.9,realistic ,0.789,  p3,  m3
p3m3_c5.out,  p3m3,1000,5,uneven,0.9,realistic ,0.822,  p3,  m3
p3m3_c2.out,  p3m3,1000,2,uneven,1.5,realistic ,0.815,  p3,  m3
p3m3_c3.out,  p3m3,1000,3,uneven,1.5,realistic ,0.777,  p3,  m3
p3m3_c4.out,  p3m3,1000,4,uneven,1.5,realistic ,0.787,  p3,  m3
p3m3_c5.out,  p3m3,1000,5,uneven,1.5,realistic ,0.802,  p3,  m3
p3m3_c2.out,  p3m3,200,2,uneven,0.405,realistic ,0.938,  p3,  m3
p3m3_c3.out,  p3m3,200,3,uneven,0.405,realistic ,0.832,  p3,  m3
p3m3_c4.out,  p3m3,200,4,uneven,0.405,realistic ,0.945,  p3,  m3
p3m3_c5.out,  p3m3,200,5,uneven,0.405,realistic ,0.9,  p3,  m3
p3m3_c2.out,  p3m3,200,2,uneven,0.9,realistic ,0.926,  p3,  m3
p3m3_c3.out,  p3m3,200,3,uneven,0.9,realistic ,0.823,  p3,  m3
p3m3_c4.out,  p3m3,200,4,uneven,0.9,realistic ,0.927,  p3,  m3
p3m3_c5.out,  p3m3,200,5,uneven,0.9,realistic ,0.922,  p3,  m3
p3m3_c2.out,  p3m3,200,2,uneven,1.5,realistic ,0.93,  p3,  m3
p3m3_c3.out,  p3m3,200,3,uneven,1.5,realistic ,0.82,  p3,  m3
p3m3_c4.out,  p3m3,200,4,uneven,1.5,realistic ,0.904,  p3,  m3
p3m3_c5.out,  p3m3,200,5,uneven,1.5,realistic ,0.897,  p3,  m3
p3m3_c2.out,  p3m3,500,2,uneven,0.405,realistic ,0.757,  p3,  m3
p3m3_c3.out,  p3m3,500,3,uneven,0.405,realistic ,0.782,  p3,  m3
p3m3_c4.out,  p3m3,500,4,uneven,0.405,realistic ,0.841,  p3,  m3
p3m3_c5.out,  p3m3,500,5,uneven,0.405,realistic ,0.862,  p3,  m3
p3m3_c2.out,  p3m3,500,2,uneven,0.9,realistic ,0.758,  p3,  m3
p3m3_c3.out,  p3m3,500,3,uneven,0.9,realistic ,0.788,  p3,  m3
p3m3_c4.out,  p3m3,500,4,uneven,0.9,realistic ,0.842,  p3,  m3
p3m3_c5.out,  p3m3,500,5,uneven,0.9,realistic ,0.861,  p3,  m3
p3m3_c2.out,  p3m3,500,2,uneven,1.5,realistic ,0.753,  p3,  m3
