Fit_Index,sim_model,k_split,separation,N,model,Class_2,Class_3,Class_4,Class_5,Total,p,m
BIC,p2m2,uneven,ideal,1000,simple,0,0,100,0,353,p2,m2
BIC,p2m2,uneven,ideal,5000,simple,0,0,100,0,446,p2,m2
CAIC,p2m2,even,ideal,200,simple,0,25,75,0,201,p2,m2
CAIC,p2m2,even,ideal,500,simple,0,0,100,0,289,p2,m2
CAIC,p2m2,even,ideal,1000,simple,0,0,100,0,352,p2,m2
CAIC,p2m2,even,ideal,5000,simple,0,0,100,0,420,p2,m2
CAIC,p2m2,uneven,ideal,200,simple,0,19,81,0,219,p2,m2
CAIC,p2m2,uneven,ideal,500,simple,0,0,100,0,320,p2,m2
CAIC,p2m2,uneven,ideal,1000,simple,0,0,100,0,353,p2,m2
CAIC,p2m2,uneven,ideal,5000,simple,0,0,100,0,446,p2,m2
VLMR,p2m2,even,ideal,200,simple,5,14,65,16,201,p2,m2
VLMR,p2m2,even,ideal,500,simple,0,0,83,16,289,p2,m2
VLMR,p2m2,even,ideal,1000,simple,0,0,84,16,352,p2,m2
VLMR,p2m2,even,ideal,5000,simple,0,0,85,15,420,p2,m2
VLMR,p2m2,uneven,ideal,200,simple,13,13,64,10,219,p2,m2
VLMR,p2m2,uneven,ideal,500,simple,8,0,75,17,320,p2,m2
VLMR,p2m2,uneven,ideal,1000,simple,6,0,78,16,353,p2,m2
VLMR,p2m2,uneven,ideal,5000,simple,2,0,85,13,446,p2,m2
aBIC,p2m2,even,ideal,200,simple,0,0,35,65,201,p2,m2
aBIC,p2m2,even,ideal,500,simple,0,0,97,3,289,p2,m2
aBIC,p2m2,even,ideal,1000,simple,0,0,100,0,352,p2,m2
aBIC,p2m2,even,ideal,5000,simple,0,0,100,0,420,p2,m2
aBIC,p2m2,uneven,ideal,200,simple,0,0,36,64,219,p2,m2
aBIC,p2m2,uneven,ideal,500,simple,0,0,96,4,320,p2,m2
aBIC,p2m2,uneven,ideal,1000,simple,0,0,100,0,353,p2,m2
aBIC,p2m2,uneven,ideal,5000,simple,0,0,100,0,446,p2,m2
cmPk,p2m2,even,ideal,200,simple,0,6,94,0,201,p2,m2
cmPk,p2m2,even,ideal,500,simple,0,0,100,0,289,p2,m2
cmPk,p2m2,even,ideal,1000,simple,0,0,100,0,352,p2,m2
cmPk,p2m2,even,ideal,5000,simple,0,0,100,0,420,p2,m2
cmPk,p2m2,uneven,ideal,200,simple,0,5,95,0,219,p2,m2
cmPk,p2m2,uneven,ideal,500,simple,0,0,100,0,320,p2,m2
cmPk,p2m2,uneven,ideal,1000,simple,0,0,100,0,353,p2,m2
cmPk,p2m2,uneven,ideal,5000,simple,0,0,100,0,446,p2,m2
